alpha_classifier,conflict_gate,accuracy,advancer_accuracy,conflict_count,warning_count,mean_wdl_probability_diff,group_weight,historical_scale,lambda_decay,test_matches
0.100,False,0.692,0.692,0,0,0.020,3.000,0.200,0.002,13
0.100,True,0.692,0.692,0,0,0.020,3.000,0.200,0.002,13
0.100,False,0.692,0.692,0,0,0.020,3.000,0.350,0.002,13
0.100,True,0.692,0.692,0,0,0.020,3.000,0.350,0.002,13
0.100,False,0.692,0.692,0,0,0.021,3.000,0.500,0.002,13
0.100,True,0.692,0.692,0,0,0.021,3.000,0.500,0.002,13
0.100,False,0.692,0.692,0,0,0.022,2.500,0.200,0.002,13
0.100,True,0.692,0.692,0,0,0.022,2.500,0.200,0.002,13
0.100,False,0.692,0.692,0,0,0.022,2.500,0.350,0.002,13
0.100,True,0.692,0.692,0,0,0.022,2.500,0.350,0.002,13
0.100,False,0.692,0.692,0,0,0.022,2.500,0.500,0.002,13
0.100,True,0.692,0.692,0,0,0.022,2.500,0.500,0.002,13
0.100,False,0.692,0.692,0,0,0.024,2.000,0.200,0.002,13
0.100,True,0.692,0.692,0,0,0.024,2.000,0.200,0.002,13
0.100,False,0.692,0.692,0,0,0.024,2.000,0.350,0.002,13
0.100,True,0.692,0.692,0,0,0.024,2.000,0.350,0.002,13
0.100,True,0.692,0.692,0,0,0.032,1.100,1.000,0.002,13
0.100,False,0.692,0.692,0,0,0.032,1.100,0.350,0.002,13
0.100,True,0.692,0.692,0,0,0.032,1.100,0.350,0.002,13
0.100,False,0.692,0.692,0,0,0.033,1.100,0.500,0.002,13
0.100,True,0.692,0.692,0,0,0.033,1.100,0.500,0.002,13
0.100,False,0.692,0.692,0,0,0.034,1.100,0.750,0.002,13
0.100,True,0.692,0.692,0,0,0.034,1.100,0.750,0.002,13
0.100,False,0.692,0.692,0,0,0.034,1.100,1.000,0.002,13
0.100,False,0.692,0.692,0,0,0.035,1.100,0.350,0.005,13
0.100,True,0.692,0.692,0,0,0.035,1.100,0.350,0.005,13
0.100,False,0.692,0.692,0,0,0.035,1.100,0.350,0.010,13
0.100,True,0.692,0.692,0,0,0.035,1.100,0.350,0.010,13
0.100,False,0.692,0.692,0,0,0.036,1.100,0.500,0.005,13
0.100,True,0.692,0.692,0,0,0.036,1.100,0.500,0.005,13
0.100,False,0.692,0.692,0,0,0.036,1.100,1.000,0.005,13
0.100,True,0.692,0.692,0,0,0.036,1.100,1.000,0.005,13
0.100,False,0.692,0.692,0,0,0.036,1.100,0.750,0.005,13
0.100,True,0.692,0.692,0,0,0.036,1.100,0.750,0.005,13
0.100,False,0.692,0.692,0,0,0.036,1.100,0.500,0.010,13
0.100,True,0.692,0.692,0,0,0.036,1.100,0.500,0.010,13
0.100,False,0.692,0.692,0,0,0.037,1.100,0.750,0.010,13
0.100,True,0.692,0.692,0,0,0.037,1.100,0.750,0.010,13
0.100,False,0.692,0.692,0,0,0.037,1.100,1.000,0.010,13
0.100,True,0.692,0.692,0,0,0.037,1.100,1.000,0.010,13
0.200,False,0.692,0.692,0,0,0.040,3.000,0.350,0.002,13
0.200,True,0.692,0.692,0,0,0.040,3.000,0.350,0.002,13
0.200,False,0.692,0.692,0,0,0.044,2.500,0.350,0.002,13
0.200,True,0.692,0.692,0,0,0.044,2.500,0.350,0.002,13
0.200,False,0.692,0.692,0,0,0.044,2.500,0.500,0.002,13
0.200,True,0.692,0.692,0,0,0.044,2.500,0.500,0.002,13
0.200,False,0.692,0.692,0,0,0.048,2.000,0.350,0.002,13
0.200,True,0.692,0.692,0,0,0.048,2.000,0.350,0.002,13
0.200,False,0.692,0.692,0,0,0.049,3.000,0.200,0.005,13
0.200,True,0.692,0.692,0,0,0.049,3.000,0.200,0.005,13
0.200,False,0.692,0.692,0,0,0.053,3.000,0.350,0.005,13
0.200,True,0.692,0.692,0,0,0.053,3.000,0.350,0.005,13
0.200,False,0.692,0.692,0,0,0.053,2.500,0.200,0.005,13
0.200,True,0.692,0.692,0,0,0.053,2.500,0.200,0.005,13
0.200,False,0.692,0.692,0,0,0.056,2.500,0.350,0.005,13
0.200,True,0.692,0.692,0,0,0.056,2.500,0.350,0.005,13
0.200,False,0.692,0.692,0,0,0.057,2.000,0.200,0.010,13
0.200,True,0.692,0.692,0,0,0.057,2.000,0.200,0.010,13
0.200,False,0.692,0.692,0,0,0.058,2.000,0.200,0.005,13
0.200,True,0.692,0.692,0,0,0.058,2.000,0.200,0.005,13
0.200,False,0.692,0.692,0,0,0.059,2.500,0.500,0.005,13
0.200,True,0.692,0.692,0,0,0.059,2.500,0.500,0.005,13
0.200,False,0.692,0.692,0,0,0.061,2.000,0.350,0.005,13
0.200,True,0.692,0.692,0,0,0.061,2.000,0.350,0.005,13
0.200,False,0.692,0.692,0,0,0.063,1.500,0.200,0.010,13
0.200,True,0.692,0.692,0,0,0.063,1.500,0.200,0.010,13
0.300,False,0.692,0.692,0,0,0.069,4.000,0.200,0.005,13
0.300,True,0.692,0.692,0,0,0.069,4.000,0.200,0.005,13
0.200,False,0.692,0.692,0,0,0.071,1.100,0.350,0.010,13
0.200,True,0.692,0.692,0,0,0.071,1.100,0.350,0.010,13
0.300,False,0.692,0.692,0,0,0.071,4.000,0.350,0.005,13
0.300,True,0.692,0.692,0,0,0.071,4.000,0.350,0.005,13
0.300,False,0.692,0.692,0,0,0.073,4.000,0.500,0.005,13
0.300,True,0.692,0.692,0,0,0.073,4.000,0.500,0.005,13
0.200,False,0.692,0.692,0,0,0.074,1.100,0.750,0.010,13
0.200,True,0.692,0.692,0,0,0.074,1.100,0.750,0.010,13
0.300,False,0.692,0.692,0,0,0.075,3.000,0.200,0.010,13
0.300,True,0.692,0.692,0,0,0.075,3.000,0.200,0.010,13
0.300,False,0.692,0.692,0,0,0.079,2.500,0.200,0.010,13
0.300,True,0.692,0.692,0,0,0.079,2.500,0.200,0.010,13
0.300,False,0.692,0.692,0,0,0.085,2.000,0.200,0.010,13
0.300,True,0.692,0.692,0,0,0.085,2.000,0.200,0.010,13
0.500,False,0.692,0.769,0,1,0.086,4.000,0.350,0.002,13
0.500,True,0.692,0.769,0,1,0.086,4.000,0.350,0.002,13
0.400,False,0.692,0.769,0,1,0.092,4.000,0.200,0.005,13
0.400,True,0.692,0.769,0,1,0.092,4.000,0.200,0.005,13
0.400,False,0.692,0.769,0,1,0.095,4.000,0.350,0.005,13
0.400,True,0.692,0.769,0,1,0.095,4.000,0.350,0.005,13
0.400,False,0.692,0.769,0,1,0.100,3.000,0.200,0.010,13
0.400,True,0.692,0.769,0,1,0.100,3.000,0.200,0.010,13
0.600,False,0.692,0.769,0,2,0.106,4.000,0.200,0.002,13
0.600,True,0.692,0.769,0,2,0.106,4.000,0.200,0.002,13
0.500,False,0.692,0.769,0,2,0.115,4.000,0.200,0.005,13
0.500,True,0.692,0.769,0,2,0.115,4.000,0.200,0.005,13
0.500,False,0.692,0.769,0,2,0.119,4.000,0.350,0.005,13
0.500,True,0.692,0.769,0,2,0.119,4.000,0.350,0.005,13
0.400,False,0.692,0.769,0,2,0.123,4.000,0.500,0.010,13
0.400,True,0.692,0.769,0,2,0.123,4.000,0.500,0.010,13
0.600,False,0.692,0.769,0,2,0.138,4.000,0.200,0.005,13
0.600,True,0.692,0.769,0,2,0.138,4.000,0.200,0.005,13
0.500,False,0.692,0.769,0,2,0.141,4.000,0.350,0.010,13
0.500,True,0.692,0.769,0,2,0.141,4.000,0.350,0.010,13
0.400,False,0.692,0.692,0,2,0.113,4.000,0.350,0.010,13
0.400,True,0.692,0.692,0,2,0.113,4.000,0.350,0.010,13
0.600,False,0.692,0.769,0,3,0.169,4.000,0.350,0.010,13
0.600,True,0.692,0.769,0,3,0.169,4.000,0.350,0.010,13
0.700,False,0.692,0.692,0,5,0.161,4.000,0.200,0.005,13
0.700,True,0.692,0.692,0,5,0.161,4.000,0.200,0.005,13
0.700,False,0.692,0.769,0,6,0.197,4.000,0.350,0.010,13
0.700,True,0.692,0.769,0,6,0.197,4.000,0.350,0.010,13
0.800,False,0.692,0.692,0,6,0.225,4.000,0.350,0.010,13
0.800,True,0.692,0.692,0,6,0.225,4.000,0.350,0.010,13
0.900,False,0.692,0.615,0,8,0.234,4.000,0.200,0.010,13
0.900,True,0.692,0.615,0,8,0.234,4.000,0.200,0.010,13
1.000,False,0.692,0.615,0,9,0.260,4.000,0.200,0.010,13
1.000,True,0.692,0.615,0,9,0.260,4.000,0.200,0.010,13
0.000,False,0.615,0.769,0,0,0.000,2.000,0.750,0.010,13
0.000,True,0.615,0.769,0,0,0.000,2.000,0.750,0.010,13
0.000,False,0.615,0.769,0,0,0.000,2.000,0.350,0.010,13
0.000,True,0.615,0.769,0,0,0.000,2.000,0.350,0.010,13
0.000,False,0.615,0.769,0,0,0.000,2.500,0.500,0.010,13
0.000,True,0.615,0.769,0,0,0.000,2.500,0.500,0.010,13
0.000,False,0.615,0.769,0,0,0.000,3.000,1.000,0.005,13
0.000,True,0.615,0.769,0,0,0.000,3.000,1.000,0.005,13
0.000,False,0.615,0.769,0,0,0.000,3.000,0.350,0.010,13
0.000,True,0.615,0.769,0,0,0.000,3.000,0.350,0.010,13
0.000,False,0.615,0.769,0,0,0.000,3.000,0.200,0.010,13
0.000,True,0.615,0.769,0,0,0.000,3.000,0.200,0.010,13
0.000,False,0.615,0.769,0,0,0.000,2.500,0.350,0.010,13
0.000,True,0.615,0.769,0,0,0.000,2.500,0.350,0.010,13
0.000,False,0.615,0.769,0,0,0.000,4.000,0.350,0.005,13
0.000,True,0.615,0.769,0,0,0.000,4.000,0.350,0.005,13
0.000,False,0.615,0.769,0,0,0.000,3.000,0.500,0.010,13
0.000,True,0.615,0.769,0,0,0.000,3.000,0.500,0.010,13
0.000,False,0.615,0.769,0,0,0.000,2.500,1.000,0.005,13
0.000,True,0.615,0.769,0,0,0.000,2.500,1.000,0.005,13
0.000,False,0.615,0.769,0,0,0.000,3.000,0.750,0.005,13
0.000,True,0.615,0.769,0,0,0.000,3.000,0.750,0.005,13
0.000,False,0.615,0.769,0,0,0.000,4.000,0.500,0.005,13
0.000,True,0.615,0.769,0,0,0.000,4.000,0.500,0.005,13
0.000,False,0.615,0.769,0,0,0.000,2.500,0.750,0.005,13
0.000,True,0.615,0.769,0,0,0.000,2.500,0.750,0.005,13
0.000,False,0.615,0.769,0,0,0.000,2.500,0.200,0.010,13
0.000,True,0.615,0.769,0,0,0.000,2.500,0.200,0.010,13
0.000,False,0.615,0.769,0,0,0.000,2.000,0.500,0.010,13
0.000,True,0.615,0.769,0,0,0.000,2.000,0.500,0.010,13
0.100,False,0.615,0.769,0,0,0.025,3.000,0.200,0.010,13
0.100,True,0.615,0.769,0,0,0.025,3.000,0.200,0.010,13
0.100,False,0.615,0.769,0,0,0.026,4.000,0.200,0.010,13
0.100,True,0.615,0.769,0,0,0.026,4.000,0.200,0.010,13
0.100,False,0.615,0.769,0,0,0.028,4.000,0.350,0.010,13
0.100,True,0.615,0.769,0,0,0.028,4.000,0.350,0.010,13
0.100,False,0.615,0.769,0,0,0.029,3.000,0.350,0.010,13
0.100,True,0.615,0.769,0,0,0.029,3.000,0.350,0.010,13
0.100,False,0.615,0.769,0,0,0.029,2.500,0.350,0.010,13
0.100,True,0.615,0.769,0,0,0.029,2.500,0.350,0.010,13
0.100,False,0.615,0.769,0,0,0.031,4.000,0.500,0.010,13
0.100,True,0.615,0.769,0,0,0.031,4.000,0.500,0.010,13
0.100,False,0.615,0.769,0,0,0.032,3.000,0.500,0.010,13
0.100,True,0.615,0.769,0,0,0.032,3.000,0.500,0.010,13
0.100,False,0.615,0.769,0,0,0.032,2.500,0.750,0.005,13
0.100,True,0.615,0.769,0,0,0.032,2.500,0.750,0.005,13
0.100,False,0.615,0.769,0,0,0.032,2.500,0.500,0.010,13
0.100,True,0.615,0.769,0,0,0.032,2.500,0.500,0.010,13
0.100,False,0.615,0.769,0,0,0.034,2.000,0.500,0.010,13
0.100,True,0.615,0.769,0,0,0.034,2.000,0.500,0.010,13
0.200,False,0.615,0.769,0,0,0.052,4.000,0.200,0.010,13
0.200,True,0.615,0.769,0,0,0.052,4.000,0.200,0.010,13
0.300,False,0.615,0.769,0,0,0.053,4.000,0.500,0.002,13
0.300,True,0.615,0.769,0,0,0.053,4.000,0.500,0.002,13
0.200,False,0.615,0.769,0,0,0.056,4.000,0.350,0.010,13
0.200,True,0.615,0.769,0,0,0.056,4.000,0.350,0.010,13
0.200,False,0.615,0.769,0,0,0.057,3.000,0.350,0.010,13
0.200,True,0.615,0.769,0,0,0.057,3.000,0.350,0.010,13
0.200,False,0.615,0.769,0,0,0.058,4.000,1.000,0.005,13
0.200,True,0.615,0.769,0,0,0.058,4.000,1.000,0.005,13
0.200,False,0.615,0.769,0,0,0.059,2.500,0.350,0.010,13
0.200,True,0.615,0.769,0,0,0.059,2.500,0.350,0.010,13
0.300,False,0.615,0.769,0,0,0.061,3.000,0.350,0.002,13
0.300,True,0.615,0.769,0,0,0.061,3.000,0.350,0.002,13
0.200,False,0.615,0.769,0,0,0.061,4.000,0.500,0.010,13
0.200,True,0.615,0.769,0,0,0.061,4.000,0.500,0.010,13
0.400,False,0.615,0.769,0,0,0.071,4.000,0.500,0.002,13
0.400,True,0.615,0.769,0,0,0.071,4.000,0.500,0.002,13
0.300,False,0.615,0.769,0,0,0.072,2.000,0.350,0.002,13
0.300,True,0.615,0.769,0,0,0.072,2.000,0.350,0.002,13
0.300,False,0.615,0.769,0,0,0.080,1.500,0.200,0.002,13
0.300,True,0.615,0.769,0,0,0.080,1.500,0.200,0.002,13
0.300,False,0.615,0.769,0,0,0.084,4.000,0.350,0.010,13
0.300,True,0.615,0.769,0,0,0.084,4.000,0.350,0.010,13
0.300,False,0.615,0.769,0,0,0.086,3.000,0.350,0.010,13
0.300,True,0.615,0.769,0,0,0.086,3.000,0.350,0.010,13
0.400,False,0.615,0.769,0,0,0.087,2.500,0.200,0.002,13
0.400,True,0.615,0.769,0,0,0.087,2.500,0.200,0.002,13
0.300,False,0.615,0.769,0,0,0.092,4.000,0.500,0.010,13
0.300,True,0.615,0.769,0,0,0.092,4.000,0.500,0.010,13
0.300,False,0.615,0.769,0,0,0.093,1.100,0.200,0.002,13
0.300,True,0.615,0.769,0,0,0.093,1.100,0.200,0.002,13
0.300,False,0.615,0.769,0,0,0.094,1.500,0.200,0.005,13
0.300,True,0.615,0.769,0,0,0.094,1.500,0.200,0.005,13
0.300,False,0.615,0.769,0,0,0.094,1.500,0.200,0.010,13
0.300,True,0.615,0.769,0,0,0.094,1.500,0.200,0.010,13
0.400,False,0.615,0.769,0,0,0.095,2.000,0.200,0.002,13
0.400,True,0.615,0.769,0,0,0.095,2.000,0.200,0.002,13
0.400,False,0.615,0.769,0,0,0.106,2.500,0.200,0.005,13
0.400,True,0.615,0.769,0,0,0.106,2.500,0.200,0.005,13
0.300,False,0.615,0.769,0,0,0.106,1.100,0.350,0.010,13
0.300,True,0.615,0.769,0,0,0.106,1.100,0.350,0.010,13
0.400,False,0.615,0.769,0,0,0.115,2.000,0.200,0.005,13
0.400,True,0.615,0.769,0,0,0.115,2.000,0.200,0.005,13
0.000,False,0.615,0.692,0,0,0.000,3.000,0.500,0.005,13
0.000,True,0.615,0.692,0,0,0.000,3.000,0.500,0.005,13
0.000,False,0.615,0.692,0,0,0.000,2.000,0.200,0.005,13
0.000,True,0.615,0.692,0,0,0.000,2.000,0.200,0.005,13
0.000,False,0.615,0.692,0,0,0.000,3.000,1.000,0.002,13
0.000,True,0.615,0.692,0,0,0.000,3.000,1.000,0.002,13
0.000,False,0.615,0.692,0,0,0.000,1.100,1.000,0.002,13
0.000,True,0.615,0.692,0,0,0.000,1.100,1.000,0.002,13
0.000,False,0.615,0.692,0,0,0.000,1.100,0.350,0.005,13
0.000,True,0.615,0.692,0,0,0.000,1.100,0.350,0.005,13
0.000,False,0.615,0.692,0,0,0.000,1.100,0.200,0.002,13
0.000,True,0.615,0.692,0,0,0.000,1.100,0.200,0.002,13
0.000,False,0.615,0.692,0,0,0.000,2.000,0.200,0.010,13
0.000,True,0.615,0.692,0,0,0.000,2.000,0.200,0.010,13
0.000,False,0.615,0.692,0,0,0.000,1.100,0.750,0.005,13
0.000,True,0.615,0.692,0,0,0.000,1.100,0.750,0.005,13
0.000,False,0.615,0.692,0,0,0.000,1.100,0.500,0.010,13
0.000,True,0.615,0.692,0,0,0.000,1.100,0.500,0.010,13
0.000,False,0.615,0.692,0,0,0.000,4.000,1.000,0.002,13
0.000,True,0.615,0.692,0,0,0.000,4.000,1.000,0.002,13
0.000,False,0.615,0.692,0,0,0.000,4.000,0.500,0.010,13
0.000,True,0.615,0.692,0,0,0.000,4.000,0.500,0.010,13
0.000,False,0.615,0.692,0,0,0.000,4.000,0.200,0.005,13
0.000,True,0.615,0.692,0,0,0.000,4.000,0.200,0.005,13
0.000,False,0.615,0.692,0,0,0.000,1.100,0.750,0.002,13
0.000,True,0.615,0.692,0,0,0.000,1.100,0.750,0.002,13
0.000,False,0.615,0.692,0,0,0.000,2.500,0.350,0.005,13
0.000,True,0.615,0.692,0,0,0.000,2.500,0.350,0.005,13
0.000,False,0.615,0.692,0,0,0.000,2.500,0.500,0.005,13
0.000,True,0.615,0.692,0,0,0.000,2.500,0.500,0.005,13
0.000,False,0.615,0.692,0,0,0.000,1.100,0.350,0.010,13
0.000,True,0.615,0.692,0,0,0.000,1.100,0.350,0.010,13
0.000,False,0.615,0.692,0,0,0.000,2.000,0.200,0.002,13
0.000,True,0.615,0.692,0,0,0.000,2.000,0.200,0.002,13
0.000,False,0.615,0.692,0,0,0.000,1.100,0.750,0.010,13
0.000,True,0.615,0.692,0,0,0.000,1.100,0.750,0.010,13
0.000,False,0.615,0.692,0,0,0.000,1.100,0.500,0.002,13
0.000,True,0.615,0.692,0,0,0.000,1.100,0.500,0.002,13
0.000,False,0.615,0.692,0,0,0.000,3.000,0.350,0.005,13
0.000,True,0.615,0.692,0,0,0.000,3.000,0.350,0.005,13
0.000,False,0.615,0.692,0,0,0.000,2.500,0.200,0.005,13
0.000,True,0.615,0.692,0,0,0.000,2.500,0.200,0.005,13
0.000,False,0.615,0.692,0,0,0.000,1.100,1.000,0.010,13
0.000,True,0.615,0.692,0,0,0.000,1.100,1.000,0.010,13
0.000,False,0.615,0.692,0,0,0.000,2.500,0.750,0.002,13
0.000,True,0.615,0.692,0,0,0.000,2.500,0.750,0.002,13
0.000,False,0.615,0.692,0,0,0.000,1.100,0.200,0.005,13
0.000,True,0.615,0.692,0,0,0.000,1.100,0.200,0.005,13
0.000,False,0.615,0.692,0,0,0.000,3.000,0.200,0.005,13
0.000,True,0.615,0.692,0,0,0.000,3.000,0.200,0.005,13
0.000,False,0.615,0.692,0,0,0.000,1.100,1.000,0.005,13
0.000,True,0.615,0.692,0,0,0.000,1.100,1.000,0.005,13
0.000,False,0.615,0.692,0,0,0.000,1.100,0.200,0.010,13
0.000,True,0.615,0.692,0,0,0.000,1.100,0.200,0.010,13
0.000,False,0.615,0.692,0,0,0.000,2.000,0.350,0.005,13
0.000,True,0.615,0.692,0,0,0.000,2.000,0.350,0.005,13
0.000,False,0.615,0.692,0,0,0.000,2.500,0.200,0.002,13
0.000,True,0.615,0.692,0,0,0.000,2.500,0.200,0.002,13
0.000,False,0.615,0.692,0,0,0.000,2.500,0.500,0.002,13
0.000,True,0.615,0.692,0,0,0.000,2.500,0.500,0.002,13
0.000,False,0.615,0.692,0,0,0.000,1.100,0.500,0.005,13
0.000,True,0.615,0.692,0,0,0.000,1.100,0.500,0.005,13
0.000,False,0.615,0.692,0,0,0.000,4.000,0.750,0.002,13
0.000,True,0.615,0.692,0,0,0.000,4.000,0.750,0.002,13
0.000,False,0.615,0.692,0,0,0.000,1.100,0.350,0.002,13
0.000,True,0.615,0.692,0,0,0.000,1.100,0.350,0.002,13
0.100,False,0.615,0.692,0,0,0.018,4.000,0.500,0.002,13
0.100,True,0.615,0.692,0,0,0.018,4.000,0.500,0.002,13
0.100,False,0.615,0.692,0,0,0.020,4.000,0.750,0.002,13
0.100,True,0.615,0.692,0,0,0.020,4.000,0.750,0.002,13
0.100,False,0.615,0.692,0,0,0.021,4.000,1.000,0.002,13
0.100,True,0.615,0.692,0,0,0.021,4.000,1.000,0.002,13
0.100,False,0.615,0.692,0,0,0.022,3.000,0.750,0.002,13
0.100,True,0.615,0.692,0,0,0.022,3.000,0.750,0.002,13
0.100,False,0.615,0.692,0,0,0.023,4.000,0.200,0.005,13
0.100,True,0.615,0.692,0,0,0.023,4.000,0.200,0.005,13
0.100,False,0.615,0.692,0,0,0.024,3.000,1.000,0.002,13
0.100,True,0.615,0.692,0,0,0.024,3.000,1.000,0.002,13
0.100,False,0.615,0.692,0,0,0.024,4.000,0.350,0.005,13
0.100,True,0.615,0.692,0,0,0.024,4.000,0.350,0.005,13
0.100,False,0.615,0.692,0,0,0.024,4.000,0.500,0.005,13
0.100,True,0.615,0.692,0,0,0.024,4.000,0.500,0.005,13
0.100,False,0.615,0.692,0,0,0.025,3.000,0.200,0.005,13
0.100,True,0.615,0.692,0,0,0.025,3.000,0.200,0.005,13
0.100,False,0.615,0.692,0,0,0.026,3.000,0.350,0.005,13
0.100,True,0.615,0.692,0,0,0.026,3.000,0.350,0.005,13
0.100,False,0.615,0.692,0,0,0.026,2.500,0.200,0.010,13
0.100,True,0.615,0.692,0,0,0.026,2.500,0.200,0.010,13
