date,match_no,home_team,away_team,final_home_win,final_draw,final_away_win,expected_home_goals,expected_away_goals,poisson_home_win,poisson_draw,poisson_away_win,strategy_conflict_count,strategy_warning_count,predicted_result,predicted_advancer,prediction_margin,top_scorelines
2026-07-02,83,Portugal,Croatia,0.434,0.422,0.144,0.883,0.427,0.446,0.395,0.159,0,0,home_win,Portugal,0.012,"[{""score"": ""0-0"", ""probability"": 0.27}, {""score"": ""1-0"", ""probability"": 0.238}, {""score"": ""0-1"", ""probability"": 0.115}, {""score"": ""2-0"", ""probability"": 0.105}, {""score"": ""1-1"", ""probability"": 0.102}]"
2026-07-02,84,Spain,Austria,0.767,0.168,0.064,2.264,0.521,0.766,0.162,0.072,0,0,home_win,Spain,0.599,"[{""score"": ""2-0"", ""probability"": 0.163}, {""score"": ""1-0"", ""probability"": 0.144}, {""score"": ""3-0"", ""probability"": 0.123}, {""score"": ""2-1"", ""probability"": 0.085}, {""score"": ""1-1"", ""probability"": 0.075}]"
2026-07-02,85,Switzerland,Algeria,0.213,0.337,0.450,0.645,1.258,0.190,0.306,0.504,0,0,away_win,Algeria,0.113,"[{""score"": ""0-1"", ""probability"": 0.188}, {""score"": ""0-0"", ""probability"": 0.149}, {""score"": ""1-1"", ""probability"": 0.121}, {""score"": ""0-2"", ""probability"": 0.118}, {""score"": ""1-0"", ""probability"": 0.096}]"
2026-07-03,86,Argentina,Cape Verde,0.756,0.156,0.089,2.562,0.797,0.743,0.157,0.100,0,0,home_win,Argentina,0.600,"[{""score"": ""2-0"", ""probability"": 0.12}, {""score"": ""3-0"", ""probability"": 0.102}, {""score"": ""2-1"", ""probability"": 0.095}, {""score"": ""1-0"", ""probability"": 0.093}, {""score"": ""3-1"", ""probability"": 0.081}]"
2026-07-03,87,Colombia,Ghana,0.378,0.284,0.338,1.210,1.210,0.364,0.279,0.357,0,0,home_win,Colombia,0.040,"[{""score"": ""1-1"", ""probability"": 0.131}, {""score"": ""1-0"", ""probability"": 0.108}, {""score"": ""0-1"", ""probability"": 0.108}, {""score"": ""0-0"", ""probability"": 0.089}, {""score"": ""2-1"", ""probability"": 0.079}]"
2026-07-03,88,Australia,Egypt,0.341,0.315,0.344,0.915,1.015,0.316,0.322,0.362,0,0,away_win,Egypt,0.003,"[{""score"": ""0-1"", ""probability"": 0.147}, {""score"": ""0-0"", ""probability"": 0.145}, {""score"": ""1-1"", ""probability"": 0.135}, {""score"": ""1-0"", ""probability"": 0.133}, {""score"": ""0-2"", ""probability"": 0.075}]"
