date,match_no,stage,home_team,away_team,expected_home_goals,expected_away_goals,home_win,draw,away_win,predicted_result,home_advancer_probability,away_advancer_probability,predicted_advancer,home_team_strength,away_team_strength,home_schedule_strength,away_schedule_strength,top_scorelines,home_goals,away_goals,actual_result,actual_advancer,result_correct,advancer_correct
2026-07-05,89,round_of_16,Canada,Morocco,1.228,1.428,0.324,0.259,0.417,away_win,0.445,0.555,Morocco,0.741,0.847,-0.372,0.069,"[{""score"": ""1-1"", ""probability"": 0.123}, {""score"": ""0-1"", ""probability"": 0.1}, {""score"": ""1-2"", ""probability"": 0.088}, {""score"": ""1-0"", ""probability"": 0.086}, {""score"": ""2-1"", ""probability"": 0.076}]",0,3,away_win,Morocco,True,True
2026-07-05,90,round_of_16,Paraguay,France,0.825,1.073,0.276,0.315,0.409,away_win,0.323,0.677,France,0.030,1.426,0.440,-0.638,"[{""score"": ""0-1"", ""probability"": 0.161}, {""score"": ""0-0"", ""probability"": 0.15}, {""score"": ""1-1"", ""probability"": 0.133}, {""score"": ""1-0"", ""probability"": 0.124}, {""score"": ""0-2"", ""probability"": 0.086}]",0,1,away_win,France,True,True
2026-07-06,91,round_of_16,Brazil,Norway,1.807,1.176,0.521,0.231,0.248,home_win,0.694,0.306,Brazil,1.417,0.549,-0.312,-0.050,"[{""score"": ""1-1"", ""probability"": 0.108}, {""score"": ""2-1"", ""probability"": 0.097}, {""score"": ""1-0"", ""probability"": 0.092}, {""score"": ""2-0"", ""probability"": 0.083}, {""score"": ""1-2"", ""probability"": 0.063}]",1,2,away_win,Norway,False,False
2026-07-06,92,round_of_16,Mexico,England,1.997,0.669,0.686,0.199,0.115,home_win,0.849,0.151,Mexico,2.126,1.010,-0.585,-0.452,"[{""score"": ""1-0"", ""probability"": 0.139}, {""score"": ""2-0"", ""probability"": 0.139}, {""score"": ""1-1"", ""probability"": 0.093}, {""score"": ""2-1"", ""probability"": 0.093}, {""score"": ""3-0"", ""probability"": 0.092}]",2,3,away_win,England,False,False
2026-07-06,93,round_of_16,Spain,Portugal,1.021,0.631,0.441,0.337,0.222,home_win,0.672,0.328,Spain,1.567,0.940,-0.613,-0.331,"[{""score"": ""1-0"", ""probability"": 0.196}, {""score"": ""0-0"", ""probability"": 0.192}, {""score"": ""1-1"", ""probability"": 0.123}, {""score"": ""0-1"", ""probability"": 0.121}, {""score"": ""2-0"", ""probability"": 0.1}]",1,0,home_win,Spain,True,True
2026-07-06,94,round_of_16,United States,Belgium,1.801,1.513,0.446,0.228,0.326,home_win,0.584,0.416,United States,0.995,0.759,-0.341,-0.353,"[{""score"": ""1-1"", ""probability"": 0.099}, {""score"": ""2-1"", ""probability"": 0.089}, {""score"": ""1-2"", ""probability"": 0.075}, {""score"": ""2-2"", ""probability"": 0.068}, {""score"": ""1-0"", ""probability"": 0.066}]",1,4,away_win,Belgium,False,False
2026-07-07,95,round_of_16,Argentina,Egypt,1.277,1.299,0.362,0.265,0.373,away_win,0.559,0.441,Argentina,1.136,0.298,-0.788,-0.171,"[{""score"": ""1-1"", ""probability"": 0.126}, {""score"": ""0-1"", ""probability"": 0.099}, {""score"": ""1-0"", ""probability"": 0.097}, {""score"": ""1-2"", ""probability"": 0.082}, {""score"": ""2-1"", ""probability"": 0.081}]",3,2,home_win,Argentina,False,True
2026-07-07,96,round_of_16,Switzerland,Colombia,0.779,0.988,0.278,0.330,0.393,away_win,0.433,0.567,Colombia,0.866,0.959,-0.525,-0.374,"[{""score"": ""0-0"", ""probability"": 0.171}, {""score"": ""0-1"", ""probability"": 0.169}, {""score"": ""1-0"", ""probability"": 0.133}, {""score"": ""1-1"", ""probability"": 0.132}, {""score"": ""0-2"", ""probability"": 0.083}]",0,0,draw,Switzerland,False,False
