date,match_no,stage,home_team,away_team,expected_home_goals,expected_away_goals,home_win,draw,away_win,predicted_result,home_advancer_probability,away_advancer_probability,predicted_advancer,home_team_strength,away_team_strength,home_schedule_strength,away_schedule_strength,top_scorelines
2026-07-09,97,quarter_final,France,Morocco,1.124,1.081,0.365,0.291,0.344,home_win,0.561,0.439,France,1.426,0.847,-0.638,0.069,"[{""score"": ""1-1"", ""probability"": 0.134}, {""score"": ""1-0"", ""probability"": 0.124}, {""score"": ""0-1"", ""probability"": 0.119}, {""score"": ""0-0"", ""probability"": 0.11}, {""score"": ""2-1"", ""probability"": 0.075}]"
2026-07-10,98,quarter_final,Spain,Belgium,1.221,0.637,0.503,0.303,0.194,home_win,0.725,0.275,Spain,1.567,0.759,-0.613,-0.353,"[{""score"": ""1-0"", ""probability"": 0.19}, {""score"": ""0-0"", ""probability"": 0.156}, {""score"": ""1-1"", ""probability"": 0.121}, {""score"": ""2-0"", ""probability"": 0.116}, {""score"": ""0-1"", ""probability"": 0.099}]"
2026-07-11,99,quarter_final,England,Norway,1.855,1.774,0.407,0.218,0.375,home_win,0.547,0.453,England,1.010,0.549,-0.452,-0.050,"[{""score"": ""1-1"", ""probability"": 0.087}, {""score"": ""2-1"", ""probability"": 0.081}, {""score"": ""1-2"", ""probability"": 0.078}, {""score"": ""2-2"", ""probability"": 0.072}, {""score"": ""3-1"", ""probability"": 0.05}]"
2026-07-11,100,quarter_final,Argentina,Switzerland,1.189,1.267,0.345,0.273,0.382,away_win,0.504,0.496,Argentina,1.136,0.866,-0.788,-0.525,"[{""score"": ""1-1"", ""probability"": 0.129}, {""score"": ""0-1"", ""probability"": 0.109}, {""score"": ""1-0"", ""probability"": 0.102}, {""score"": ""0-0"", ""probability"": 0.086}, {""score"": ""1-2"", ""probability"": 0.082}]"
