date,match_no,home_team,away_team,final_home_win,final_draw,final_away_win,expected_home_goals,expected_away_goals,poisson_home_win,poisson_draw,poisson_away_win,strategy_conflict_count,strategy_warning_count,predicted_result,predicted_advancer,prediction_margin,top_scorelines
2026-07-03,86,Argentina,Cape Verde,0.834,0.116,0.049,2.798,1.056,0.718,0.159,0.123,0,0,home_win,Argentina,0.718,"[{""score"": ""2-1"", ""probability"": 0.094}, {""score"": ""2-0"", ""probability"": 0.089}, {""score"": ""3-1"", ""probability"": 0.087}, {""score"": ""3-0"", ""probability"": 0.083}, {""score"": ""1-1"", ""probability"": 0.067}]"
2026-07-03,87,Colombia,Ghana,0.472,0.259,0.270,1.400,1.449,0.363,0.252,0.385,2,3,home_win,Colombia,0.202,"[{""score"": ""1-1"", ""probability"": 0.118}, {""score"": ""1-2"", ""probability"": 0.086}, {""score"": ""0-1"", ""probability"": 0.084}, {""score"": ""2-1"", ""probability"": 0.083}, {""score"": ""1-0"", ""probability"": 0.082}]"
2026-07-03,88,Australia,Egypt,0.492,0.214,0.293,1.071,1.287,0.309,0.278,0.413,4,5,home_win,Australia,0.199,"[{""score"": ""1-1"", ""probability"": 0.131}, {""score"": ""0-1"", ""probability"": 0.122}, {""score"": ""1-0"", ""probability"": 0.102}, {""score"": ""0-0"", ""probability"": 0.095}, {""score"": ""1-2"", ""probability"": 0.084}]"
