date,competition,stage,home_team,away_team,home_goals,away_goals,neutral_ground,host_team,source,group
2026-06-15,world_cup_2026_group,group,Spain,Cape Verde,0,0,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_H,H
2026-06-15,world_cup_2026_group,group,Saudi Arabia,Uruguay,1,1,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_H,H
2026-06-21,world_cup_2026_group,group,Spain,Saudi Arabia,4,0,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_H,H
2026-06-21,world_cup_2026_group,group,Uruguay,Cape Verde,2,2,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_H,H
2026-06-26,world_cup_2026_group,group,Cape Verde,Saudi Arabia,0,0,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_H,H
2026-06-26,world_cup_2026_group,group,Uruguay,Spain,0,1,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_H,H
2026-06-16,world_cup_2026_group,group,France,Senegal,3,1,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_I,I
2026-06-16,world_cup_2026_group,group,Iraq,Norway,1,4,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_I,I
2026-06-22,world_cup_2026_group,group,France,Iraq,3,0,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_I,I
2026-06-22,world_cup_2026_group,group,Norway,Senegal,3,2,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_I,I
2026-06-26,world_cup_2026_group,group,Norway,France,1,4,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_I,I
2026-06-26,world_cup_2026_group,group,Senegal,Iraq,5,0,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_I,I
2026-06-16,world_cup_2026_group,group,Argentina,Algeria,3,0,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_J,J
2026-06-16,world_cup_2026_group,group,Austria,Jordan,3,1,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_J,J
2026-06-22,world_cup_2026_group,group,Argentina,Austria,2,0,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_J,J
2026-06-22,world_cup_2026_group,group,Jordan,Algeria,1,2,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_J,J
2026-06-27,world_cup_2026_group,group,Algeria,Austria,3,3,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_J,J
2026-06-27,world_cup_2026_group,group,Jordan,Argentina,1,3,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_J,J
2026-06-17,world_cup_2026_group,group,Portugal,DR Congo,1,1,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_K,K
2026-06-17,world_cup_2026_group,group,Uzbekistan,Colombia,1,3,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_K,K
2026-06-23,world_cup_2026_group,group,Portugal,Uzbekistan,5,0,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_K,K
2026-06-23,world_cup_2026_group,group,Colombia,DR Congo,1,0,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_K,K
2026-06-27,world_cup_2026_group,group,Colombia,Portugal,0,0,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_K,K
2026-06-27,world_cup_2026_group,group,DR Congo,Uzbekistan,3,1,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_K,K
2026-06-17,world_cup_2026_group,group,England,Croatia,4,2,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_L,L
2026-06-17,world_cup_2026_group,group,Ghana,Panama,1,0,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_L,L
2026-06-23,world_cup_2026_group,group,England,Ghana,0,0,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_L,L
2026-06-23,world_cup_2026_group,group,Panama,Croatia,0,1,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_L,L
2026-06-27,world_cup_2026_group,group,Panama,England,0,2,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_L,L
2026-06-27,world_cup_2026_group,group,Croatia,Ghana,2,1,1,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_L,L
