date,competition,stage,home_team,away_team,home_goals,away_goals,neutral_ground,host_team,source,status,actual_advancer,match_no
2026-07-09,world_cup_2026_qf,quarter_final,France,Morocco,,,1,,https://www.sbnation.com/soccer/1121525/2026-world-cup-round-of-16-scores-schedule,upcoming,,97
2026-07-10,world_cup_2026_qf,quarter_final,Spain,Belgium,,,1,,https://www.sbnation.com/soccer/1121525/2026-world-cup-round-of-16-scores-schedule,upcoming,,98
2026-07-11,world_cup_2026_qf,quarter_final,England,Norway,,,1,,https://www.sbnation.com/soccer/1121525/2026-world-cup-round-of-16-scores-schedule,upcoming,,99
2026-07-11,world_cup_2026_qf,quarter_final,Argentina,Switzerland,,,1,,https://www.sbnation.com/soccer/1121525/2026-world-cup-round-of-16-scores-schedule,upcoming,,100
